id,indexed_date,language,media_name,media_url,publish_date,title,url
7376e68621e3e3518f6d5b8936cdfd43dfa103deb4b2ac0a9056d2cb9622c914,2024-07-30 21:28:07.607040,en,tmz.com,tmz.com,2024-07-30,Eminem Says MGK Slept with His Mother in A.I. Slim Shady Interview,https://www.tmz.com/2024/07/30/eminem-death-slim-shady-ai-interview-mgk-mother/
3e04f7fdfb8fde67a9385874cf08e34f26591b5f7be51f85ee140de141711946,2024-07-29 12:33:53.751378,en,tmz.com,tmz.com,2024-07-29,Khloe Kardashian Throws Dinosaur-Themed Bday Bash for Tatum,https://www.tmz.com/2024/07/29/khloe-kardashian-dinosaur-tatum-birthday-party-kris-kim/
223d87d37085fc950c1867afa6cca8468362db10ebac0e6c02c75bebd0d4b219,2024-07-31 07:31:44.181220,en,tmz.com,tmz.com,2024-07-29,"Travis Barker Selling His Boarding Pass for Charity, Historic Significance",https://www.tmz.com/2024/07/29/travis-barker-selling-post-crash-boarding-pass-personal-note/
244535848e5e16fb82e17502a50fee68889a6124297842c4cb99b1af128cd7ff,2024-07-28 09:27:51.481804,en,tmz.com,tmz.com,2024-07-28,July 2024 Hot Shots -- Dog Days of Summer ... No Ruff Stuff!,https://www.tmz.com/2024/07/28/july-2024-hot-shots-dog-days-of-summer-will-have-you-panting/
fdfb015807b9941acd6e502d5fe77bd7becf737cb4e184d039357b4380319c7d,2024-07-28 21:17:39.406090,en,tmz.com,tmz.com,2024-07-28,"Bianca Censori Wears Tiny Shorts, Takes North West to 'Deadpool 3' with Kanye",https://www.tmz.com/2024/07/28/kanye-west-bianca-censori-tiny-shorts-take-north-west-deadpool/
34172d6d65ac3a0e3c3721141c2b95cac7a16b3aa2b3d7d2c6d56c07a4c25b99,2024-07-28 21:18:16.501039,en,tmz.com,tmz.com,2024-07-28,"Kim Kardashian Goes Wakesurfing, Perfectly Balanced on Board",https://www.tmz.com/2024/07/28/kim-kardashian-wake-surfing-perfectly-balanced-board/
67e9ca460ad47ff923bd3092d52903e0c16b98d601f0a8be8f80ab078ef46e64,2024-07-26 19:20:45.664505,en,tmz.com,tmz.com,2024-07-26,'Love Island USA' Leah Kateb Dodges Question About Kanye West Dating Rumor,https://www.tmz.com/2024/07/26/love-island-usa-leah-kateb-dodges-question-kanye-west-dating-rumors/
8d34472921cc0ff2e6de055bdd26ba9e197385e9dbadea62e4b751b883a88a38,2024-07-25 15:24:35.058155,en,tmz.com,tmz.com,2024-07-25,Khloe Kardashian Learns Her Biological Age Is Way Better Than Kim's,https://www.tmz.com/2024/07/25/khloe-kardashian-biological-age-kim-kardashian/
1e863608517f96c67a68a6719f0a993bc3300f75602aaab60d71538a84469608,2024-07-23 19:18:50.813266,en,tmz.com,tmz.com,2024-07-23,Michael Jackson's Signed Sketches to Be Auctioned Off,https://www.tmz.com/2024/07/23/michael-jackson-signed-sketches-auction/
18b6b848752a7a2097e238fb2b4946375ea6ab377b4d8192ea34f2fa6928ba5c,2024-07-22 18:23:24.802880,en,tmz.com,tmz.com,2024-07-22,Kim Kardashian Needs Khloe's Help To Fit Into Bodysuit In Funny Bathroom Video,https://www.tmz.com/2024/07/22/kim-kardashian-khloe-kardashian-bodysuit-funny-bathroom-video/
05e70f42f242209ff5ae9817b76f87b9fce7a393109df8a5c9b7e009c1101992,2024-07-22 16:27:53.295934,en,tmz.com,tmz.com,2024-07-22,Kim Kardashian Playing Divorce Lawyer Laura Wasser in 'All's Fair',https://www.tmz.com/2024/07/22/kim-kardashian-laura-wasser-alls-fair-divorce-lawyer-legal-drama-series-ryan-murphy/
a5193c215ed235bc49de94a8d2b692e1613868c22540ab58b42051b6f20d8e1f,2024-07-21 08:21:52.933632,en,tmz.com,tmz.com,2024-07-21,"TMZ TV Hot Takes: Kim Kardashian and Taylor Swift, Kyle Richards, Ingrid Andress",https://www.tmz.com/2024/07/21/tmz-tv-hot-takes-kim-kardashian-ivanka-trump-taylor-swift-kyle-richards-ingrid-andress/
4f558833c781470de61645ab1fbf5f7b766d48fe7ed02fb77d8d15e85a1b23f7,2024-07-19 15:20:10.764293,en,tmz.com,tmz.com,2024-07-19,Kim Kardashian Shows Love To Ivanka Trump's Swiftie-Inspired Cake For Daughter,https://www.tmz.com/2024/07/19/kim-kardashian-ivanka-trump-daughter-birthday-swiftie-taylor-swift-cake/
b83e98f8661edc85cc1a36d896a7c059700bb4366ecd63860b679e196af37727,2024-07-18 15:23:44.432336,en,tmz.com,tmz.com,2024-07-18,"Kim Kardashian Shows Gory Injury, Fingertip Sliced Off, Bone Exposed",https://www.tmz.com/2024/07/18/kim-kardashian-broken-finger-injury-fingertip-bone-saint/
50491780c154fef1ae04fa3ee29592588413a096c162544c966e7630c5b1a9fd,2024-07-18 14:30:07.072692,en,tmz.com,tmz.com,2024-07-18,"Kim Kardashian's Therapist Thinks Her Family Needs Therapy, Especially Khloe",https://www.tmz.com/2024/07/18/kardashian-family-therapy-khloe-needs-most-kim-paris-robbery/
6431e94e4674d333ea94c4c324eecef28ad950635978cd19344c69f6d1e29ba3,2024-07-13 09:28:29.887660,en,tmz.com,tmz.com,2024-07-13,"TMZ TV Hot Takes: Alec Baldwin Case Dismissed, Kardashians, Patrick Mahomes",https://www.tmz.com/2024/07/13/tmz-tv-hot-takes-alec-baldwin-trial-kardashian-wedding-guests-patrick-mahomes-baby/
7b1c5f9c2c690551fa2cb0cac98fabdcec9c9acd2d6e4ca7ba6b9e4ade00842d,2024-07-14 23:25:54.118089,en,tmz.com,tmz.com,2024-07-13,"Kim, Khloe Kardashian Covered in Diamonds for Day 2 of Billionaire Wedding",https://www.tmz.com/2024/07/13/kim-khloe-kardashian-covered-diamonds-day-2-billionaire-wedding/
f86333b9ef6a8a80aeb1726d605f6ec008393c7d97c816ee840cc1c746c8707f,2024-07-13 01:17:36.585007,en,tmz.com,tmz.com,2024-07-12,Kim and Khloe Kardashian Dress in Stylish Outfits For Billionaire Wedding In India,https://www.tmz.com/2024/07/12/kim-kardashian-khloe-kardashian-india-billionaire-wedding-ceremony-fashion-celebrities/
ec6e8e5a589df0a9d535151ed5e7300de5d60a7b18abaebcf1b0142022d40b0d,2024-07-12 22:29:03.963520,en,tmz.com,tmz.com,2024-07-12,Kim Kardashian Shows Brutal Finger Injury in New 'Kardashians' Teaser,https://www.tmz.com/2024/07/12/kim-kardashian-brutal-finger-injury-new-hulu-episode-teaser-doctor/
2688ffbccdddd27feb12f7ce13d2eda67beac923c311aa797750ae1421d93eb4,2024-07-11 15:37:00.820353,en,tmz.com,tmz.com,2024-07-11,Kim Kardashian Dabbled In Jennifer Aniston-Backed Salmon Sperm Facial,https://www.tmz.com/2024/07/11/kim-kardashian-salmon-sperm-facial-jennifer-aniston/
